Penulis,Komentar
@ibraheemCHNL,"Bukan mudah untuk membuat kartun animasi.. Paling tidak ada org yg setengah mati memutar otaknya untuk membuat animasi ini.. Semoga di tahun berikutnua jadi lebih baik lg ya.. Walopun dana 6,7 m hanya menjadi cacian..  Sya harap tidak ada tikusnya ya di tim ini.."
@radit777-b8q,Kenapa gak beli aja benderanya
@adepaiky8899,Grafik setan
@mardionovivo1530,"Masih mending nonton Adit SOP Jarwo, kalo nonton ini gak bagus kualitasnya"
@leo3865-c7l,This 2025 not 2000...plaese wake up guysss..
@akunnontonmaybeacashier,"Yang baju hitam mukanyaaaaa, mimpi buruk gw malam ini  0:12"
@brotherhood4018,Gak jadi turun layar kah?
@Ucok_proUcok_pro,Film nya cocok rilis tahun 1960
@anikaponorogo26,Animasi sebagus ini kok di hujat sih emang orang indo paling best urusan nyinyir
@TiaYustiana,Yg bikin pea
@samueldimastamariyadi5797,apasi ajg film ini wkwkw ancur
@audinarianda2469,Grafik apaan inii
@Chinese_2025,Masa burung suara nya monyet
@Fiftyonechain,Pengen debat sama animatornya:)
@millah1959-ri8cr,Ini film pke computer windows 2 yah.luar biasa banget banyak cacatnya .mending nonton one peace yg lagi rame 
@ellentjandra2322,Aduh... Bagaimana ini?
@adelliougroseno,"suara burung 
suara monyet "
@SantiSartika13,Tinggal beli lagi sih apa susah nya miskin banget tuh kampung beli bendera doang
@abimanyuabimanyu3329,Wajah tokoh-tokohnya kok menakutkan semua ya 
@Kyzyna_Ch,grafik nya.....
@Louch64,Apa ini cok
@slomow-1540,Jir 10 tahun lalu bisa cook film kek battle of surabaya sekarang buat sampah
@PaulinusYoga,vidio gak jelas
@AzlanGz,Langsung kejang kejang gw setelah liat trailernya
@untungari6973,lebih bagus dontol
@fjr9916,"Sudah capek² ""jumbo"" menaikkan kualitas film Indonesia, malah diturunin lagi sama animasi model ginian."
@FadilahSiregar-k4s,WTH is thiss!!!!
@MandaNopie,Ini emang tema nya tahun 70-an apa gimana yak 
@sriyani501,Malu²in
@banduk8916,Uelekkk
@yaszgaming1528,Film grafik taik kek gini mau d masukin bioskop anjir tebak viewer aja udah orang juga mikir2 anjir budjet gede d apain aja
@apaajalah-m8d7,"Kualitas video:1080p kayak 144p, mending epep apa merah putih OFA "
@rosyidahrosi8707,"Beneran masuk bioskop?
Koooo bisaaa"
@BejoDA,bikin sakit mata ...
@embekkh,"0:06 80th maksudnya??
0:11 sakit mata liat bagian ini
0:14 rajin bngt Ampe dikasih kertas kado segala tu hadiahnya (rispek panitia 17 Agustus)
0:24 satpamnya 
  (salfok sama Marsya)
 harusnya ""tapi hilangnya bendera"" gasih?
 capek bngt dh
 beli aja sih di pasar 
 terbang kak
 teriak kek om²
 anak sekecil itu berkelahi dngn ular 
 brung cantik
 suara nya kek nenek sihir (rambutnya kek abis kesambar)
 SE susah itu kah nulis ""yang"" ??"
@juho2115,Animasi paling kampungan 2025 bagusan jumbo
@Qienza,"1:30 apcb burung bunyi monyet bikin malu indonesia anj, kemarin dah bangga punya jumbo malah tiba tiba ada ni animasi"
@maskanahbintisawi85,Baru liat trailernya udh sakit mata apalagi full nonton auto mual2
@RafaAgustio-s6f,animasi indonesia macam apa. ini kocak 
@dailysholawat4687,"Film yg sangat cocok menggambarkan pemerintah Indonesia, Bajet yg di korupsi, asal2an."
@SquliFerr-mz1zd,Jelek
@ApolloMarina3,Tolong mata saya sakit
@EvanRisky-e1d,Lebih hd kartel dari pada ini jir 
@winartiputri4270,0:33 salfok sama marsha and the bear di belakang
@AninDya-d3k,Damnnn
@ramayina,"maaf, lebih takut nonton ini dripada kartun horor "
@farhanalvisyahrin3460,"Bagusan free fire max anj, malah free fire yg biasa juga masih menang"
@zettaridwan1733,"Kata yang buat ""lah gmn,ikutan tender tapi duitnya udah kepotong banyak buat jamu ordal, yah ini kualitasnya sesuai dgn sisa duitnya"".....ini suruh tim Somad kalogak nusa Rara juga selesai..kgak butuh M M man"
@richarddamanik8013,Berhenti jangan lanjyuttt
@ndyinfus8586,anak karang taruna mana yg bikin film ini ?
@STAR_BANANA,Sangat memalukan
@hotoka-kun,Ceritanya ketebak banget
@amarproduction6945,1:46 modal ai 
@sunfflowerr,sakit mata liatnya
@Sabuknusantara66,Mending nonton sopo & jarwo
@ЅӨӍЄӨҊЄ-г2ъ,Tolonggg mata gw padahal udah pake kacamata tetep sakit
@TiaraLestari-t3g,8bit
@Wayu-576,Yo knp ada ak47 di gudang 0:39  dan knp ada burung suara nya monyet 1:29
@dolliee_b0mzz,1:25 LINA NYRI MSLH
@dwii.faridaa,1:29 wtf
@kim_agil417,"Kukira ini bikinan orang iseng, ternyata ini official dari yang bikin"
@Hapisaname,memalukan
@fahrikazekage5756,Masih bagus gambar film jumbo
@melangkah1602,Kartun yg katanya pake dana hampir 7 miliar tapi hasilnya sehat jelek begini kok gak boleh di hujat... Ntar gak brubah-brubah ini negeri di korupsi terus
@kaylaayulintang,"film nya bikin rusak mata ga si, film gini tayang di bioskop pulang” yg nonton lgsg sakit mata"
@attashelby4016,aib negara ngapain diposting njir
@FISHINgPlace-q2i,"BERHENTYIIII JHYANGAN LANJHYUT"" MALU GUA SAMA TRAILER INI"
@SriMaheniHartatikDawis05,"""beta buka gudang benderanya hilang"""
@itscozuart6046,Burik anji n c
@parel1610,Sakit mata woi
@IndahLestari-p5n,Ad senjata anj di guadng nya
@dedisamsudin2739,Siapa yg bikin
@Bohrodir,"Guys, berhenti komentar yang jelek-jelek, aku cape ngelikenya"
@teraskacaofficial5103,"Mau bersaing sama kimetsu no yaiba, wkwk untuk kny dengan animasi durasi 20menit kurang aja butuh 1,2M, itu aja pengerjaanya 7bulan, ini layar lebar budget 6M suruh kelar kaya tugas power point smp yang besok harus dikumpulin,"
@maiaanes3308,"Bikin anak seneng no
Bikin anak sakit mata yes"
@YatzZ-TryHard,"Grafik jaman Majapahit
Masih kalah sama Film Jumbo"
@kenzo_cogan,"Kan suruh cari bendera kan lewat pasar masa g beli di situ pemerintah oon bngt bah, hewan aj beda suara"
@MasRisky26,https://www.youtube.com/watch?v=9qBcG6dfbPo masih bagusan animasi gromore studio cerita rakya nusantara
@SumiatiChanel-u7e,Buang ke dark web aja
@AnakUdanh,"Berhentiyy, jyangan lanjyutt"
@hellobeats,ga sabar nunggu karakternya masuk GTA SAN ANDREAS MOD
@safwanshaaban4955,Film 90an ka ni? Badut juga
